UF,Classe,month,seasonal_factor,var
AP,comercial,11,1.1003486970589562,94905633.33333331
AP,comercial,12,0.9508021321439392,61089364.333333336
AP,industrial,1,0.9517290054755952,1985196.43
AP,industrial,2,1.0321439819681026,1440671.1233333338
AP,industrial,3,0.92083344400891,1149726.923333333
AP,industrial,4,0.9078331745929354,830172.7233333333
AP,industrial,5,1.0315292581953683,1113797.0233333327
AP,industrial,6,1.040044320825096,1133108.13
AP,industrial,7,1.0398621804479895,1180578.1033333335
AP,industrial,8,1.0489919668504517,1036436.52
AP,industrial,9,0.980734860529801,1025254.1033333332
AP,industrial,10,1.06301677588765,1087776.3333333335
AP,industrial,11,1.215559341714321,1610032.3333333333
AP,industrial,12,0.7677216895037814,515725.0
AP,outros,1,0.8830008582253573,42026997.96333332
AP,outros,2,0.9711175768739664,55522463.13000001
AP,outros,3,0.8333724070081426,37349555.123333335
AP,outros,4,0.9975488246499068,57097319.53
AP,outros,5,0.9635128629141984,51933756.84333334
AP,outros,6,1.0187176857220606,59753011.90333334
AP,outros,7,0.7164193163502397,28000169.773333337
AP,outros,8,1.079643313168526,73195981.65333332
AP,outros,9,1.173637828899169,82189975.57000002
AP,outros,10,1.2372888451635862,92505320.33333331
AP,outros,11,1.1226215644820297,72719769.0
AP,outros,12,1.0031189165428172,54031280.33333333
AP,residencial,1,0.9717972240500128,2094753428.4799995
AP,residencial,2,0.874586886894442,1689327563.22
AP,residencial,3,0.895908076376716,1766955070.445
AP,residencial,4,0.9402002502330656,1950119906.8050003
AP,residencial,5,0.9316720579100684,1905765626.88
AP,residencial,6,0.9531604946408242,1999010127.005
AP,residencial,7,1.0013007725618135,2195114288.72
AP,residencial,8,1.0297058751619768,2330157511.125
AP,residencial,9,1.0669424828917051,2488319676.045
AP,residencial,10,1.092677298914417,2611837812.5
AP,residencial,11,1.1512705298655044,2919931780.5
AP,residencial,12,1.0907780504994564,2643444760.5
AP,rural,1,0.9628351991668836,114576.845
AP,rural,2,0.8909789117417338,99235.125
AP,rural,3,0.8849258005727675,98745.68
AP,rural,4,0.9128482166102576,104470.20500000002
AP,rural,5,0.9458474355636552,113573.78
AP,rural,6,1.1383754230669096,165312.5
AP,rural,7,0.9552199947930228,116065.62
AP,rural,8,1.0471882322311896,140291.04499999998
AP,rural,9,1.022390002603489,133954.88
AP,rural,10,1.0954178599323092,152904.5
AP,rural,11,1.1871908357198646,174050.0
AP,rural,12,0.9567820879979172,116162.0
BA,comercial,1,1.0635436293600673,1520264940.5
BA,comercial,2,1.1035865985542288,2075676880.5
BA,comercial,3,1.0289117880241805,1559946368.0
BA,comercial,4,1.0845993652230934,1112221448.0
BA,comercial,5,1.0737210356427285,973375442.0
BA,comercial,6,0.9866539012092744,476879844.5
BA,comercial,7,0.9001194684820752,431974224.5
BA,comercial,8,0.9206580787121288,373300488.0
BA,comercial,9,0.9194182232788568,177472800.0
BA,comercial,10,0.9150257706132456,157886450.0
BA,comercial,11,0.9880837847365904,234144800.0
BA,comercial,12,1.01567835616353,386920562.0
BA,industrial,1,0.98534731282073,279906333679.84503
BA,industrial,2,0.979940984476401,278099795893.205
BA,industrial,3,0.983156783449527,280147682214.72003
BA,industrial,4,0.9923064513532877,286068059525.12006
BA,industrial,5,1.0194161000182338,303954817423.68
BA,industrial,6,1.0154765009517708,303908349938.0
BA,industrial,7,1.014895299538226,300329627744.20496
BA,industrial,8,1.0351326358702446,310497452921.645
BA,industrial,9,1.029215660163,305664101437.52
BA,industrial,10,0.9712279318683466,271510362860.18
BA,industrial,11,0.996289898271638,289508526032.44495
BA,industrial,12,0.9775944412185956,281663251690.32
BA,outros,1,1.0026738581010428,6709221122.0
BA,outros,2,1.001551949334825,6981341815.220001
BA,outros,3,1.0013897898597863,8544904992.0
BA,outros,4,1.0419369961522589,7983677522.0
BA,outros,5,1.0317048066526475,8212108324.5
BA,outros,6,0.9795899798896568,7170989282.0
