,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
109,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,AM,Norte,10058,23/02/2026
110,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,AP,Norte,1762,23/02/2026
111,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,BA,Nordeste,62238,23/02/2026
112,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,CE,Nordeste,"36757,635",23/02/2026
113,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,DF,Centro-Oeste,7067,23/02/2026
114,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,ES,Sudeste,"29972,39",23/02/2026
115,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,GO,Centro-Oeste,"146549,298",23/02/2026
116,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,MA,Nordeste,"11880,514",23/02/2026
117,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,MG,Sudeste,"249539,896",23/02/2026
118,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,MS,Centro-Oeste,"76877,904",23/02/2026
119,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,MT,Centro-Oeste,"136415,103",23/02/2026
120,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,PA,Norte,"59175,13",23/02/2026
121,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,PB,Nordeste,"13618,591",23/02/2026
122,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,PE,Nordeste,"50865,574",23/02/2026
123,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,PI,Nordeste,"7795,79",23/02/2026
124,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,PR,Sul,"430080,899",23/02/2026
125,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,RJ,Sudeste,"26010,221",23/02/2026
126,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,RN,Nordeste,10468,23/02/2026
127,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,RO,Norte,"29951,532",23/02/2026
128,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,RR,Norte,"1448,554",23/02/2026
129,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,RS,Sul,"223075,321",23/02/2026
130,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,SC,Sul,"200419,051",23/02/2026
131,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,SE,Nordeste,"12995,145",23/02/2026
132,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,SP,Sudeste,"469008,316",23/02/2026
133,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,TO,Norte,"18336,888",23/02/2026
134,20251201,2025-12-01,11 - FABRICAÇÃO DE BEBIDAS,AC,Norte,"169,877",23/02/2026
